Region,Country,Country Income Level,Organization Name,Organization Type,Sectors,Description,URL,City,State/Region,Founding Year,Size,Type of Data Used,Advocacy,Advocacy Description,Product/Service,Product/Service Description,Organizational Optimization,Organizational Optimization Description,Research,Research Description,Other,Use - Other Description
North America,United States,High income,AAASHTO,Other,Transportation and logistics,AASHTO works to educate the public and key decision makers about the critical role that transportation plays in securing a good quality of life and sound economy. AASHTO serves as a liaison between state departments of transportation and the Federal government.,http://www.transportation.org/,Washington,DC,1913,51 to 200,Transportation,FALSE,,TRUE,creates publications that provide technical standards for all phases of highway system development.,FALSE,,FALSE,,FALSE,
Latin America & Caribbean,Chile,High income,ABRELATAM,Nonprofit,Governance,ABRELATAM is an conference that seeks to accelerate the process of opening information through Open Data transparency and promote the Latin America.,http://2015.abrelatam.org/,Santiago,,2015,,,TRUE,Advocates for open data in Latina America and the Caribbean region. Organizer of ConDatos ABRE LATAM - Conferencia Regional de Datos Abiertos en AmÌ©rica Latina y el Caribe.,FALSE,,FALSE,,FALSE,,FALSE,
East Asia & Pacific,Australia,High income,ADG Engineers (Aust) Pty Ltd,For-profit,Housing -  construction & real estate,ADE Engineers (Aust) Pty Ltd communicate across offices -  states and countries with colleagues -  partners and clients as they continually learn new approaches to design -  collaboration -  with engineers -  draftspeople and technicians across multiple disciplines.,https://www.adjce.com/,Brisbane,Queensland,2002,51 to 200,Housing,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
Europe & Central Asia,United Kingdom,High income,AIMES Grid Services,For-profit,IT and geospatial,AIMES is a commercial data center providing a range of services including colocation -  hosting -  data backup -  managed services and business continuity services.,http://www.aimesgridservices.com/,Liverpool,England,2005,11 to 50,Transportation,FALSE,To improve the efficiency -  reliability -  security and innovation of data. ,FALSE,Use data to provide data center services such as colocation -  Cloud services -  N3 hosting -  ISO 27001 hosting -  business continuity and disaster recovery ,TRUE,,FALSE,,FALSE,
Latin America & Caribbean,Mexico,Upper middle income,AMAI,Other,Business -  research and consulting,The Amai is a professional association in Latin America focused on industry intelligence applied to business and social issues.,http://www.amai.org/,Ciudad de MÃ©xico,Distrito Federal,1992,1000+,Government operations -  Public safety -  Economic -  Legal -  Business -  Demographic and social -  Geospatial -  Tourism -  Finance -  Housing -  Consumer,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
Europe & Central Asia,United Kingdom,High income,AMEE,For-profit,Energy and climate,AMEE is an environmental sustainability platform which uses data and technology to help businesses address environmental sustainability challenges.,https://www.amee.com,London,,2008,1 to 10,Environment -  Business,FALSE,,TRUE,Use open data to provide data driven and collaborative solutions to manage supply chain performance and risk via Collaborative Data Platforms -  Business Intelligence Software and Sustainable Business Marketplace.,FALSE,,FALSE,,FALSE,
Latin America & Caribbean,Mexico,Upper middle income,ANTAD,For-profit,Consumer,ANTAD aims to represent the legitimate interests of its members -  promoting the development of the retail sector in Mexico and its suppliers in a market economy with social responsibility.,http://www.antad.net,Mexico City,Federal District,,,Consumer -  Energy -  Business -  Agriculture -  Economic,FALSE,,TRUE,Uses legislative open data to provide Sistema de Seguimiento Legislativo (a service that allows associates to be informed of relevant changes in legislation).,FALSE,,FALSE,,FALSE,
East Asia & Pacific,New Zealand,High income,ANZ - Truckometer,For-profit,Finance and insurance,ANZ provides a range of banking and financial products and services,http://www.anz.co.nz/about-us/economic-markets-research/truckometer/,Auckland,Auckland,2015,1000+,Transportation,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
East Asia & Pacific,New Zealand,High income,ASB Bank,For-profit,Finance and insurance,ASB provide financial services and solutions. ,https://www.asb.co.nz/about-asb/,Auckland,Auckland,,1000+,Housing,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
North America,Canada,High income,ASL 19,Developer group,IT and geospatial,ASL 19 is a technology lab working on access to information solutions for Iranians. ,https://asl19.org/en/,Toronto,Ontario,2012,11 to 50,Government operations -  Science and research -  Demographic and social -  Geospatial -  Economic -  Legal,TRUE,Solution Majlis Monitor aims to make the Iranian Parliament accessible and transparent.,FALSE,,FALSE,,FALSE,,FALSE,
Europe & Central Asia,Spain,High income,AVUXI,For-profit,IT and geospatial,AVUXI analyzes geo-tagged big data from multiple sources to help uncover the social highlights of entire cities and neighbourhoods -  instantly visualizing what city areas are popular for what -  whom and when. ,http://www.avuxi.com/,Barcelona,Catalonia,2014,1 to 10,Demographic and social,FALSE,,FALSE,,TRUE,Uses demographic open data to uncover the socio-economical structure of cities -  making instantly visible the actual profiles of different areas within a city.,FALSE,,FALSE,
Europe & Central Asia,Germany,High income,Abgeordnetenwatch,Nonprofit,Governance,abgeordnetenwatch.de is the direct line of citizens to the deputies and Kandierenden. &quot;Citizens ask - politicians respond&quot; is the core of the portal . The public dialogue creates transparency and ensures a liability in the statements of politicians.,https://www.abgeordnetenwatch.de,Hamburg,,2004,11 to 50,Government operations,TRUE,Uses parliament data to increase transparency in public dialogue.,FALSE,,FALSE,,FALSE,,FALSE,
Latin America & Caribbean,Mexico,Upper middle income,Abison Burke,For-profit,Business -  research and consulting,Abison Burke provides their customers disruptive technology in analytical modeling that aids decision making.,http://abisonburke.com,Mexico City,Federal District,2002,51 to 200,Economic -  Demographic and social -  Government operations -  Finance -  Business -  Consumer -  Geospatial,FALSE,,TRUE,Their Traditional Store Census is a tool that uses geospatial data to give customers a base of geo-referenced data on digital maps with a large number of shops.,FALSE,,FALSE,,FALSE,
East Asia & Pacific,New Zealand,High income,Abley Transportation Consultants,For-profit,Transportation and logistics,Abley Transportation Consultants designs -  develops and implements the plans and infrastructure that allow people to navigate their daily connections smoothly -  efficiently -  and safely.,http://www.abley.com/,Auckland,Auckland,1996,11 to 50,Transportation,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
Europe & Central Asia,United Kingdom,High income,Above Mobile,For-profit,IT and geospatial,Above Mobile is a mobile application developer which creates a variety of mobile applications for clients.,http://www.attidomobile.co.uk/,Manchester,England,2007,1 to 10,Public safety,FALSE,,TRUE,Certain products like the Crime Map and Canal and River Trust use geospatial and open government data to build their mobile applications,FALSE,,FALSE,,FALSE,
Latin America & Caribbean,Costa Rica,Upper middle income,Abriendo Datos Costa Rica,Nonprofit,Governance,Opening Data Costa Rica is a civil society organization whose aim is to promote a culture of open data through training and the development of related open data projects.,http://abriendodatoscostarica.org/,San Jose,San Jose,2015,1 to 10,,TRUE,Advocactes for issues related to transparency and access to public information in Costa Rica.,FALSE,,FALSE,,FALSE,,FALSE,
North America,United States,High income,Abt Associates,For-profit,Business -  research and consulting,Abt Associates is a mission-driven organization conducting research and program implementation in the fields of health -  social and environmental policy -  and international development.,http://abtassoc.com,Cambridge,MA,1965,1000+,Environment -  Health/healthcare -  Transportation -  Government operations -  Demographic and social,FALSE,,FALSE,,FALSE,,TRUE,Uses open data to generate research and recommendations on how to tackle social issues (e.g. environment -  education -  food security).,FALSE,
Latin America & Caribbean,Mexico,Upper middle income,Abt Associates Mexico,For-profit,Business -  research and consulting,Abt Associates conducts research and program implementation in the fields of climate change -  health -  social and environmental policy -  and international development.,http://www.abtmexico.net,Mexico City,Federal District,2013,,Business -  Government operations -  Economic,TRUE,Abt is working with Mexican national -  state -  and local governments to develop tools that provide efficiency -  transparency and accountability in legislation.,FALSE,,FALSE,,FALSE,,FALSE,
Latin America & Caribbean,Argentina,High income,Acadeu,For-profit,Education,Acadeu is a collaborative web tool aimed at improving education.,https://acadeu.com/,Buenos Aires,Autonomous City of Buenos Aires,2015,1 to 10,Education,FALSE,,FALSE,,TRUE,used educational data,FALSE,,FALSE,
North America,United States,High income,Accela,For-profit,Governance,Accela improves citizen engagement by making it easier to do government business -  driving civic innovation and improving transparency -  accuracy and accountability -  providing civic engagement solutions for government.,http://www.accela.com,San Ramon,California,1999,201 to 1000,Housing -  Health/healthcare -  Public safety,FALSE,,TRUE,The Accela Civic Platform uses open government data to build cloud services that automate and streamline civic processes,FALSE,,FALSE,,FALSE,
Europe & Central Asia,Bulgaria,Upper middle income,Access to Information Programme,Nonprofit,Governance,Access to Information Programme Foundation has been perseveringly following its mission to assist the exercise of the right to informatio,http://www.aip-bg.org,Sofia,Sofia-city,2015,11 to 50,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,
South Asia,India,Lower middle income,Accountability Initiative,Nonprofit,Governance,A research initiative that seeks to improve the quality of Indiaâ€™s public services by promoting informed and accountable governance. ,http://www.accountabilityindia.in/,Delhi,Delhi,2009,11 to 50,Government operations -  Demographic and social,TRUE,Reports on the issue of Right To Information -  which includes the assessment of accessible government data.,FALSE,,FALSE,,FALSE,,FALSE,
North America,United States,High income,AccuWeather,For-profit,Energy and climate,AccuWeather provides local forecasts for everywhere in the United States and over two million locations worldwide.,http://www.accuweather.com,State College,PA,1962,201 to 1000,Weather,FALSE,,TRUE,Uses open weather data to provide weather forecast services.,FALSE,,FALSE,,FALSE,
Europe & Central Asia,Netherlands,High income,Achmea,For-profit,Finance and insurance,Achmea is a leading insurance company based in the Netherlands that provides customers with Health -  Life and Non-life insurance.,https://www.achmea.nl,Zeist,,,1000+,Public safety -  Health/healthcare -  Demographic and social,FALSE,,FALSE,,TRUE,integrate open data into probability models for risk calculation,FALSE,,FALSE,
Europe & Central Asia,United Kingdom,High income,ActionAid UK,Nonprofit,Business -  research and consulting,ActionAid UK aims to figh poverty worldwide.,http://www.actionaid.org.uk,London,,2015,,Business,FALSE,,TRUE,FTSE 100 tax haven tracker uses businesses public records.,FALSE,,FALSE,,FALSE,
Europe & Central Asia,United Kingdom,High income,Actuated Futures,For-profit,IT and geospatial,Actuated Futures is a technology company building the infrastructure for people to access real-time information on their buildings and neighborhoods.,http://actuatedfutures.com,Leeds,England,2013,1 to 10,Transportation,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
North America,United States,High income,Acumen Fund,Nonprofit,Finance and insurance,Acumen is a nonprofit that raises charitable donations to invest in companies -  leaders -  and ideas that are changing the way the world tackles poverty.,http://acumen.org/,New York,NY,2001,51 to 200,,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
North America,United States,High income,Acxiom,For-profit,IT and geospatial,Acxiom is an enterprise data -  analytics and software-as-a-service company -  using data to connect people -  businesses and their partners.,http://acxiom.com,Little Rock,Arkansas,1969,1000+,Other,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
North America,United States,High income,Adaptive,For-profit,Business -  research and consulting,Adaptive helps organizations leverage what they have by providing a knowledge management asset that facilitates reuse -  analytics and compliance throughout the organization.,http://www.adaptive.com,Irvine,California,2001,11 to 50,Other,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
North America,United States,High income,Addepar,For-profit,Finance and insurance,Addepar streamlines the increasing complexities of modern investment management into one seamless platform: comprehensive data aggregation -  unmatched data integrity -  flexible analytics -  intuitive reporting -  limitless customization and interactive portals.,https://www.addepar.com/,Mountain View,CA,2009,51 to 200,Finance,FALSE,,FALSE,,TRUE,comprehensive data aggregation - unmatched data integrity - flexible analytics - intuitive reporting - limitless customization and interactive portals,FALSE,,FALSE,
North America,United States,High income,Adobe Digital Government,For-profit,IT and geospatial,Adobe delivers solutions that help government agencies make -  manage -  mobilize -  and measure the information and experiences needed to achieve their missions.,http://www.adobe.com/solutions/government.html,San Jose,California,2009,1000+,Other,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
East Asia & Pacific,Australia,High income,Advance Cairns,Nonprofit,Governance,Advance Cairns is the peak regional economic development -  investment attraction and advocacy organization for Tropical North Queensland -  facilitating connections between private enterprise -  industry -  community and government agencies to improve the lives of people living in the region. ,http://www.advancecairns.com,Cairns,Queensland,2000,1 to 10,Economic,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
Europe & Central Asia,Netherlands,High income,Advocatenkantoor Goossens,For-profit,Business -  research and consulting,Advocatenkantoor Goossens is a law office specialised in litigation as well as legal consultancy.,http://www.advocatengoossens.nl/,Asten,North Brabant,2015,1 to 10,Legal,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
Europe & Central Asia,United Kingdom,High income,Adzuna,For-profit,Media and communications,Adhunter is an internet services company which is behind Adzuna -  a comprehensive search engine for classified ads.,http://www.adzuna.co.uk,London,,2010,11 to 50,Economic,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
East Asia & Pacific,Australia,High income,Aerometrex,For-profit,IT and geospatial,The mission of Aerometrex is to provide professional -  accurate digital image mapping and geospatial engineering solutions to clients by exploiting both existing and emerging air and ground imaging technologies.,www.aerometrex.com.au,Adelaide,South Australia,1980,11 to 50,Geospatial,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
Middle East & North Africa,Tunisia,Upper middle income,Africa Development Bank Group,For-profit,Finance and insurance,The African Development Bank (AfDB) Groupâ€™s mission is to help reduce poverty -  improve living conditions for Africans and mobilize resources for the continentâ€™s economic and social development. ,http://opendataforafrica.org/about/us,Tunis,Tunis,1964,1000+,Economic,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,
Sub-Saharan Africa,Uganda,Low income,Africa Freedom of Information Centre,Nonprofit,Governance,AFIC (Africa Freedom of Information Centre) is a membership civil society organization promoting the right of access to information on the African continent.,http://www.africafoicentre.org,Kampala,Central Region,2008,1 to 10,Education -  Health/healthcare -  Agriculture,TRUE,Monitor outcomes of government projects and contracting,FALSE,,FALSE,,TRUE,Produces research and knowledge production on access to information in Africa -  promotes the ratification and domestication of regional instruments -  and promotes legislation and implementation of FOI frameworks on the African Continent.,FALSE,
North America,United States,High income,AgSquared,For-profit,Agriculture,AgSquared online farm planning and management service helps farmers track valuable information about their farm operations to help build a complete picture of a farm's productivity -  profitability and sustainability.,http://www.agsquared.com/,Washington,DC,2009,1 to 10,Weather -  Agriculture,FALSE,,TRUE,the AgSquared software integrates U.S. soil and weather data to help farmers manage their farm.,FALSE,,FALSE,,FALSE,
Latin America & Caribbean,Brazil,Upper middle income,Agencia Publica,Nonprofit,Media and communications,Agencia Publica produces reports guided by the public interest -  on the big issues faced in Brazil -  from the point of view of the population - in order to strengthen the right to information -  the qualification of the democratic debate and the promotion of human rights,http://apublica.org/truco/,SÃ£o Paulo,State of SÃ£o Paulo,2015,1 to 10,,TRUE,Uses open data to produce non-partisan investigative reporting guided by public interest on Brazilian and Latin American current important issues from the people point of view -  in order to strengthen the right to information -  and to facilitate democratic debate and promotion of human rights.,FALSE,,FALSE,,FALSE,,FALSE,
Latin America & Caribbean,Mexico,Upper middle income,Agencia de EstadaÂ­stica de Mercados S.C. (AEM Research),For-profit,Business -  research and consulting,AEM is a research company focused on the generation and analysis of information to support the decision-making of individuals -  enterprises (or nonprofit) and governments.,http://www.aemresearch.com,JuÃ¡rez,Nuevo Leon,1998,1 to 10,Economic -  Agriculture -  Finance -  Demographic and social -  Government operations -  Geospatial -  Business -  Consumer -  Weather,FALSE,,TRUE,creation of indicators and indexes.,TRUE,market research - feasibility and data validation,FALSE,,FALSE,
Europe & Central Asia,Kazakhstan,Upper middle income,AgroBiz.kz, ,Agriculture,In order to support local farmers -  rural communities and agrarian scientists in Kazakhstan -  AgroBiz.kz was created to provide a multifunctional internet portal.,http://agrobiz.kz/,Almaty,Almaty Province,2000, ,Agriculture,FALSE,,TRUE,Agricultural web portal Agrobiz.kz uses the data of the Ministry of Agriculture -  as well as the data of akimats -  such as: a list of public services of the department of agriculture and veterinary medicine -  the data on the enterprise production of of fruits and vegetables -  the data about the objects of agro-industrial complex -  the list of peasant farms and private farms -  contact details of veterinary stations -  etc. The AgroBiz portal is designed to facilitate the connection of farmers with state bodies -  organizations -  financial institutions -  scientific community and business sector. For example -  rural akimats can quickly send different types of notification to farmers -  and other state agencies will be able to inform them about an emergency -  flood -  fire -  the threat of the spread of pests and diseases -  the timing of tax payments. ,FALSE,,FALSE,,FALSE,
Latin America & Caribbean,Mexico,Upper middle income,Agroclima,For-profit,Agriculture,Agroclima gives access to information on weather -  climate forecasting and climate impacts expected in agriculture and livestock.,http://www.agroclima.com.mx/,Aguascalientes,Aguascalientes,2000,1 to 10,Weather -  Economic -  Science and research -  Environment -  Geospatial -  Agriculture,FALSE,,TRUE,The Agricultural Information System provides a databases of major crops to facilitate decision making for the agricultural industry.,FALSE,,FALSE,,FALSE,
Europe & Central Asia,Ireland,High income,Aianalytics,For-profit,IT and geospatial,Applied Intelligence Analytics develops customer-tailored data analytics software solutions -  by identifying business risks and providing actionable insights for risk management.,http://www.aianalytics.ie/index.html,Dublin,Dublin,2013,1 to 10,,FALSE,,FALSE,,TRUE,Aianalytics uses data from government agencies to provide data analytics solutions for detecting fraud (fraud control) - threats detection - and cybersecurity. It also uses analytics solutions to provide other forms of risk management to companies and public organisations,FALSE,,FALSE,
North America,United States,High income,AidData,Nonprofit,Finance and insurance,AidData is a research and innovation lab developed by Development Gateway -  the College of William and Mary -  and Grigham Young University -  that seeks to improve development outcomes by making development finance data more accessible and actionable.,http://aiddata.org/,Washington,DC,2009,11 to 50,International development,TRUE,Collects -  curates -  and publishes data on more than $5.5 trillion dollars in development finance from 90 bilateral and multilateral agencies at the project level -  making all of this information available in a searchable database of development finance activities.,FALSE,,FALSE,,FALSE,,FALSE,
North America,United States,High income,Aidin,For-profit,Healthcare,Aidin helps hospitals discharge their patients to the best available nursing homes -  home health agencies -  and other post-acute care providers.,http://www.myAidin.com,New York,NY,2011,1 to 10,Health/healthcare,FALSE,,TRUE,Uses healthcare open data to recommend the most appropriate providers.,FALSE,,FALSE,,FALSE,
Middle East & North Africa,Egypt,Lower middle income,Ain Shams University,Academic institution,Education,Ain Shams University is an educational organization related to the Egyptian Governorate -  . Its goal is to educate -  enhance research -  and improve its environment. Ain Shams University is one of the largest educational institutions in MENA.,http://www.asu.edu.eg/,Cairo,Cairo Governorate,1950,1000+,Education,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
Europe & Central Asia,United Kingdom,High income,Aistemos,For-profit,Business -  research and consulting,Aistemos is a specialist intellectual property consultancy -  providing analytics and risk management services.,https://aistemos.com/,London,,2013,11 to 50,Legal,FALSE,,TRUE,Propel is an IP strategythat is an open source software that uses open innovation and the protection and exploitation of data.,FALSE,,FALSE,,FALSE,
North America,Canada,High income,Ajah,For-profit,IT and geospatial,Ajah is a software company that builds tools that the Canadian non-profit sector needs.,http://www.ajah.ca,Montreal,QuÃ©bec,2010,1 to 10,Business,FALSE,,FALSE,,TRUE,combines open and public data with own research to help funders and non-profits better understand the patterns -  and specifically the risks and opportunities in their funding environment.,FALSE,,FALSE,
South Asia,India,Lower middle income,Akara Research and Technologies,For-profit,Business -  research and consulting,Akara seeks to deploy secure -  user-friendly open-source technologies based products and solutions that collate and disseminate real-time data for informed decision-making and policy interventions.,http://www.akara.co.in/,Chennai,Tamil Nadu,2013,11 to 50,Environment -  Economic -  Health/healthcare -  Business -  Education -  Demographic and social,FALSE,,TRUE,Create web‐based -  open‐source map where they populate with data from different sources on one common platform. ,TRUE,Economic forecasting,TRUE,Economic forecasting -  research for consulting projects,FALSE,
Latin America & Caribbean,Mexico,Upper middle income,Akko Group,For-profit,Housing -  construction & real estate,Akko Group is a new real estate services company strategically set in Miami and in Mexico. ,http://www.akko-group.com/,Mexico City,Federal District,2014,1 to 10,Environment -  Consumer -  Business -  Transportation -  Economic -  Demographic and social -  Geospatial,FALSE,,TRUE,Uses housing open data to get insights into the real estate market.,FALSE,,FALSE,,FALSE,
East Asia & Pacific,Australia,High income,Alantgeo,For-profit,IT and geospatial,Alantgeo specializes in delivering web and mobile geospatial mapping and visualization solutions -  allowing anyone to design and publish maps.,http://alantgeo.com.au,Sydney,New South Wales,2015,1 to 10,Geospatial,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
North America,United States,High income,Alarm.com,For-profit,Consumer,Alarm.com is a technology provider of connected home services -  powering well over one million residential and commercial installations.,www.alarm.com,Vienna,Virginia,2000,201 to 1000,Weather,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
Europe & Central Asia,Albania,Upper middle income,Albanian Institute of Science,Nonprofit,Governance,Albanian Institute of Science's mission is to promote scientific activity and applied research in Albania to solve socio-economic problems -  increase transparency -  and strengthen civic engagement.,http://ais.al/new/,Tirana,Tirana,2011,11 to 50,Other,TRUE,Uses open data to create applications such as Open Data Albania and Tax Calculator.,FALSE,,FALSE,,FALSE,,FALSE,
North America,United States,High income,Aldevra,For-profit,Healthcare,Aldevra is a veteran-owned small business that sells commercial foodservice and medical equipment to government agencies.,http://aldevra.com,Kalamazoo,Michigan,2009,1 to 10,Other,FALSE,,FALSE,,TRUE,uses open data for insights regarding their federal government procurement agreements.,FALSE,,FALSE,
East Asia & Pacific,Australia,High income,Alexander & Symonds,For-profit,IT and geospatial,Alexander Symonds is one of the leading and longest serving surveying consultancies in the country offering consulting services in all fields of surveying including land development -  precise engineering -  infrastructure -  laser scanning and licensed surveying.,www.alexander.com.au,Adelaide,South Australia,1932,51 to 200,Geospatial -  Environment,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
North America,United States,High income,AllState Insurance Group,For-profit,Finance and insurance,The Allstate Corporation is the largest publicly held personal -  property and casualty insurer in America.,http://www.allstate.com,Northbrook,Illinois,1931,1000+,,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
North America,United States,High income,Alliance of Automobile Manufacturers,Other,Transportation and logistics,Alliance of Automobile Manufactures is committed to developing and implementing constructive solutions to public policy challenges that promote sustainable mobility and benefit society in the areas of environment -  energy and motor vehicle safety.,http://www.autoalliance.org,Washington,DC,2015,11 to 50,Transportation,TRUE,provides testimony to Congress based on data related to vehicle safety - traffic crashes and new technologies.,FALSE,,FALSE,,FALSE,,FALSE,
North America,United States,High income,Allied Van Lines,For-profit,Transportation and logistics,As part of Allied's moving services -  the company offers customized solutions for local -  interstate and international moves.,http://www.allied.com,Oakbrook Terrace,Illinois,1928,1000+,Geospatial,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
North America,United States,High income,Alltuition,For-profit,Education,Alltuition is an online search engine for students to find suitable loan providers.,https://www.alltuition.com,Chicago,IL,2009,1 to 10,Education,FALSE,,TRUE,Uses education open data to develop college financial tools at the federal -  college -  and state levels.,FALSE,,FALSE,,FALSE,
Europe & Central Asia,Kazakhstan,Upper middle income,Almaty Tours,For-profit,Arts -  culture and tourism,An application providing tours in Kazakhstan -  created in cooperation with tour operators -  travelers and mountaineers.,https://itunes.apple.com/us/app/almaty-tour-pesie-i-gornye/id1136552758?mt=8,Almaty,Almaty Province,2016,1 to 10,Tourism,FALSE,,TRUE,The application uses the open data on tourist routes and tour operators to provide an extensive collection of tours.,FALSE,,FALSE,,FALSE,
Europe & Central Asia,United Kingdom,High income,Alpine Interactive,For-profit,IT and geospatial,Alpine Interactive is a technology services company providing IT support -  website design -  and software development services .,http://www.alpineinteractive.co.uk/,London,,2001,1 to 10,Government operations,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
Latin America & Caribbean,Mexico,Upper middle income,Alternativas y Capacidades,Nonprofit,Business -  research and consulting,Alternativas &amp; Capacidades mission is to strengthen advocacy skills in organized civil society -  promote strategic social investment and work for an environment conducive to participation in the public sphere -  with the aim of contributing to the social environment.,http://alternativasycapacidades.org/,Mexico City,Federal District,2002,11 to 50,International development,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Europe & Central Asia,Netherlands,High income,Alterra,Other,Agriculture,Alterra is part of the Wageningen University and Research Centre (Wageningen UR) -  and offers a combination of practical and scientific research in disciplines related to the green world around us and the sustainable use of our living environment,http://www.wageningenur.nl/en/Expertise-Services/Research-Institutes/alterra.htm,Wageningen,Gelderland,2015,201 to 1000,Geospatial -  Agriculture,FALSE,,FALSE,,FALSE,,TRUE,Uses environment open data to product research towards a sustainable green living environment.,FALSE,
