"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01007","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",5.49,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","1022","73","0","2015","A","N",2,0,0,0,0,0,0,"N",0.37,0,0,0,0,0,0,"N",-2,-50.0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","1022","73","0","2015","A","",9,66,4165187,527962,14262,1206,62713,"",0.77,0.41,0.44,0.36,0.54,1.05,1.05,"",2,28.6,3,4.8,889134,27.1,3301,0.6,-1514,-9.6,199,19.8,10366,19.8
"01011","5","1022","73","0","2015","A","",3,26,1073509,186778,6758,794,41289,"",1.29,0.45,0.32,0.33,0.44,0.70,0.70,"",0,0.0,2,8.3,21071,2.0,9086,5.1,642,10.5,-35,-4.2,-1814,-4.2
"01013","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",3.90,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","1022","73","0","2015","A","",12,96,2863503,841973,23504,575,29880,"",1.58,0.71,0.36,0.56,0.56,0.51,0.51,"",1,9.1,10,11.6,471322,19.7,160266,23.5,2672,12.8,41,7.7,2091,7.5
"01015","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",0.75,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","1022","73","0","2015","A","",25,523,24051479,4392890,105116,884,45958,"",0.63,0.61,0.42,0.56,0.60,0.69,0.70,"",-4,-13.8,-78,-13.0,-1867666,-7.2,-471260,-9.7,-33403,-24.1,55,6.6,2849,6.6
"01017","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",3.15,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","1022","73","0","2015","A","",7,58,1972715,529778,15069,660,34308,"",0.74,0.37,0.20,0.34,0.43,0.55,0.55,"",-1,-12.5,-10,-14.7,-460363,-18.9,-90755,-14.6,-4225,-21.9,-33,-4.8,-1738,-4.8
"01019","5","1022","73","0","2015","A","",6,25,1009446,226865,9290,774,40244,"",0.91,0.25,0.17,0.23,0.31,0.68,0.68,"",3,100.0,2,8.7,57234,6.0,8932,4.1,-407,-4.2,-8,-1.0,-420,-1.0
"01021","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",2.45,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","1022","73","0","2015","A","",6,56,2308734,487651,10192,788,40983,"",0.50,0.31,0.20,0.25,0.22,0.66,0.66,"",-1,-14.3,-5,-8.2,-48057,-2.0,-26669,-5.2,-2927,-22.3,42,5.6,2188,5.6
"01023","5","1022","73","0","2015","A","",4,16,655319,137909,2656,768,39918,"",0.88,0.24,0.12,0.20,0.18,0.47,0.47,"",0,0.0,-6,-27.3,-27225,-4.0,-34874,-20.2,631,31.2,176,29.7,9127,29.6
"01025","5","1022","73","0","2015","A","",8,53,1711017,417921,5508,622,32334,"",0.76,0.33,0.16,0.26,0.17,0.48,0.48,"",-1,-11.1,2,3.9,-49514,-2.8,-13685,-3.2,-1033,-15.8,-48,-7.2,-2528,-7.3
"01027","5","1022","73","0","2015","A","",4,18,600190,134935,2238,647,33656,"",1.19,0.24,0.14,0.18,0.13,0.59,0.59,"",0,0.0,-2,-10.0,-117629,-16.4,-59769,-30.7,-511,-18.6,-38,-5.5,-1938,-5.4
"01029","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",9.06,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","1022","73","0","2015","A","N",4,0,0,0,0,0,0,"N",1.22,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",1.77,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","1022","73","0","2015","A","",12,77,2921611,641091,15896,729,37902,"",0.71,0.26,0.17,0.20,0.22,0.65,0.65,"",1,9.1,-4,-4.9,-7013,-0.2,-30653,-4.6,5925,59.4,36,5.2,1857,5.2
"01033","3","1022","73","0","2015","A","N",2,0,0,0,0,0,0,"N",2.87,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","1022","73","0","2015","A","",10,91,5031379,750416,20580,1058,55038,"",0.48,0.19,0.14,0.15,0.17,0.73,0.73,"",-2,-16.7,-11,-10.8,-155311,-3.0,-135617,-15.3,-7884,-27.7,83,8.5,4354,8.6
"01035","5","1022","73","0","2015","A","",4,17,646530,157503,2467,728,37846,"",0.99,0.24,0.15,0.22,0.14,0.63,0.63,"",0,0.0,-1,-5.6,-56807,-8.1,152,0.1,-396,-13.8,-17,-2.3,-870,-2.2
"01037","5","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",0.53,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","1022","73","0","2015","A","",14,85,3467888,719778,14182,785,40839,"",0.97,0.35,0.24,0.29,0.20,0.68,0.68,"",1,7.7,2,2.4,49867,1.5,-32930,-4.4,658,4.9,-10,-1.3,-508,-1.2
"01041","2","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",114.55,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01041","5","1022","73","0","2015","A","",3,10,652586,224698,5949,1214,63153,"",0.74,0.13,0.14,0.27,0.24,0.99,0.99,"",0,0.0,-1,-9.1,41438,6.8,-114285,-33.7,-2070,-25.8,177,17.1,9228,17.1
"01043","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",1.04,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","1022","73","0","2015","A","",15,159,6842764,1392404,39147,826,42969,"",0.53,0.29,0.19,0.24,0.33,0.65,0.65,"",-3,-16.7,-24,-13.1,-999508,-12.7,-180316,-11.5,-11479,-22.7,4,0.5,212,0.5
"01045","1","1022","73","0","2015","A","",1,6,191084,0,0,588,30573,"",86.29,7.66,3.43,0.00,0.00,0.43,0.43,"",0,0.0,-1,-14.3,-36018,-15.9,0,0.0,0,0.0,-36,-5.8,-1870,-5.8
"01045","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",2.14,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","1022","73","0","2015","A","",11,26,1475190,223758,4565,1102,57289,"",0.79,0.08,0.05,0.08,0.07,0.63,0.63,"",0,0.0,-6,-18.8,-209469,-12.4,-13732,-5.8,1266,38.4,87,8.6,4506,8.5
"01047","5","1022","73","0","2015","A","",11,87,3293874,676328,11299,729,37933,"",0.81,0.35,0.21,0.27,0.14,0.60,0.60,"",1,10.0,-31,-26.3,-1119948,-25.4,-1020883,-60.2,-31801,-73.8,11,1.5,607,1.6
"01049","5","1022","73","0","2015","A","",14,174,8682400,1488165,18709,957,49780,"",0.77,0.42,0.34,0.33,0.18,0.81,0.81,"",0,0.0,-3,-1.7,134131,1.6,51144,3.6,839,4.7,26,2.8,1348,2.8
"01051","5","1022","73","0","2015","A","",17,147,5790213,1321987,21984,758,39434,"",0.81,0.39,0.25,0.35,0.29,0.66,0.66,"",-1,-5.6,-22,-13.0,-1420376,-19.7,-82583,-5.9,-11520,-34.4,-61,-7.4,-3148,-7.4
"01053","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",2.26,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01053","5","1022","73","0","2015","A","",12,53,2678837,482269,15215,964,50150,"",0.91,0.21,0.16,0.19,0.27,0.74,0.74,"",-3,-20.0,-2,-3.6,-146814,-5.2,-30168,-5.9,237,1.6,-20,-2.0,-993,-1.9
"01055","5","1022","73","0","2015","A","",23,316,12868562,2836538,60733,784,40745,"",0.70,0.45,0.29,0.35,0.35,0.64,0.64,"",-1,-4.2,-23,-6.8,-213407,-1.6,-52402,-1.8,-20012,-24.8,41,5.5,2098,5.4
"01057","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",5.58,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01057","5","1022","73","0","2015","A","",7,26,1112207,231286,2842,825,42915,"",1.31,0.34,0.25,0.34,0.21,0.74,0.74,"",0,0.0,-4,-13.3,-434526,-28.1,-29531,-11.3,-494,-14.8,-169,-17.0,-8786,-17.0
"01059","5","1022","73","0","2015","A","",7,42,1450171,335865,7970,665,34597,"",0.78,0.21,0.12,0.15,0.14,0.58,0.58,"",0,0.0,-2,-4.5,32347,2.3,15888,5.0,-122,-1.5,51,8.3,2676,8.4
"01061","5","1022","73","0","2015","A","N",5,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01063","5","1022","73","0","2015","A","",3,5,66858,39118,348,245,12735,"",1.25,0.15,0.03,0.14,0.04,0.22,0.22,"",-1,-25.0,-2,-28.6,-198167,-74.8,-14329,-26.8,-678,-66.1,-458,-65.1,-23820,-65.2
"01065","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",6.80,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01065","5","1022","73","0","2015","A","",3,14,774014,115452,1928,1038,54001,"",0.69,0.26,0.23,0.24,0.19,0.88,0.88,"",-1,-25.0,0,0.0,-140730,-15.4,-10629,-8.4,-1179,-37.9,-219,-17.4,-11338,-17.4
"01067","5","1022","73","0","2015","A","N",2,0,0,0,0,0,0,"N",0.38,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01069","5","1022","73","0","2015","A","",37,637,24864363,5589052,122151,751,39054,"",0.80,0.69,0.38,0.58,0.61,0.55,0.55,"",-1,-2.6,-14,-2.2,57481,0.2,57499,1.0,-33571,-21.6,18,2.5,938,2.5
"01071","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",1.93,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01071","5","1022","73","0","2015","A","",13,77,2148221,629639,15704,539,28020,"",0.85,0.24,0.11,0.18,0.14,0.46,0.45,"",0,0.0,-1,-1.3,-309096,-12.6,4435,0.7,-869,-5.2,-69,-11.3,-3619,-11.4
"01073","2","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",1.65,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","3","1022","73","0","2015","A","",3,22,467999,0,0,408,21192,"",0.31,0.07,0.05,0.00,0.00,0.70,0.70,"",0,0.0,1,4.8,4426,1.0,0,0.0,0,0.0,-10,-2.4,-538,-2.5
"01073","5","1022","73","0","2015","A","",280,6425,417307093,58398265,1310240,1249,64947,"",0.99,0.96,0.67,0.82,0.89,0.69,0.69,"",1,0.4,-369,-5.4,-10652038,-2.5,-4010844,-6.4,-373749,-22.2,38,3.1,1954,3.1
"01075","5","1022","73","0","2015","A","",8,16,545340,123992,1477,642,33388,"",1.81,0.24,0.13,0.18,0.12,0.51,0.51,"",0,0.0,1,6.7,76613,16.3,6385,5.4,355,31.6,51,8.6,2652,8.6
"01077","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",0.91,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01077","5","1022","73","0","2015","A","",20,313,10957317,2474858,45881,673,35017,"",0.62,0.55,0.32,0.42,0.34,0.58,0.58,"",-2,-9.1,3,1.0,190205,1.8,59448,2.5,-9186,-16.7,6,0.9,312,0.9
"01079","5","1022","73","0","2015","A","N",2,0,0,0,0,0,0,"N",0.29,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0
"01081","3","1022","73","0","2015","A","N",2,0,0,0,0,0,0,"N",1.26,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","1022","73","0","2015","A","",43,474,17725187,4150043,63755,719,37388,"",0.91,0.44,0.25,0.41,0.30,0.57,0.57,"",2,4.9,8,1.7,-130049,-0.7,44393,1.1,-33527,-34.5,-18,-2.4,-955,-2.5
"01083","3","1022","73","0","2015","A","N",2,0,0,0,0,0,0,"N",2.72,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01083","5","1022","73","0","2015","A","",13,198,8230903,1585131,36926,799,41535,"",0.60,0.44,0.23,0.36,0.30,0.51,0.51,"",0,0.0,11,5.9,621624,8.2,66080,4.4,-5736,-13.4,16,2.0,844,2.1
"01085","5","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",0.40,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0
"01087","5","1022","73","0","2015","A","",3,7,224016,56000,990,615,32002,"",0.79,0.07,0.03,0.11,0.09,0.43,0.43,"",-1,-25.0,-2,-22.2,-170847,-43.3,-20454,-26.8,-735,-42.6,-229,-27.1,-11872,-27.1
"01089","1","1022","73","0","2015","A","",1,6,194546,0,0,670,34844,"",8.19,0.68,0.28,0.00,0.00,0.44,0.45,"",0,0.0,0,0.0,-8927,-4.4,0,0.0,0,0.0,-11,-1.6,-543,-1.5
"01089","2","1022","73","0","2015","A","N",2,0,0,0,0,0,0,"N",6.38,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","3","1022","73","0","2015","A","",12,136,3326354,0,0,470,24444,"",2.44,0.78,0.59,0.00,0.00,0.75,0.75,"",0,0.0,2,1.5,32580,1.0,0,0.0,0,0.0,-2,-0.4,-121,-0.5
"01089","5","1022","73","0","2015","A","",114,2324,126669216,21093663,492623,1048,54499,"",0.78,0.63,0.34,0.57,0.56,0.54,0.54,"",-5,-4.2,-49,-2.1,7363267,6.2,104392,0.5,-47330,-8.8,81,8.4,4231,8.4
"01091","5","1022","73","0","2015","A","",6,31,1591591,348090,7812,990,51480,"",0.74,0.23,0.17,0.25,0.27,0.75,0.75,"",0,0.0,-7,-18.4,-338911,-17.6,-26639,-7.1,-3306,-29.7,0,0.0,0,0.0
"01093","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",3.01,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01093","5","1022","73","0","2015","A","",9,35,1737227,280956,5875,961,49992,"",0.91,0.18,0.16,0.14,0.10,0.85,0.85,"",0,0.0,-3,-7.9,-14931,-0.9,6372,2.3,2377,68.0,74,8.3,3883,8.4
"01095","5","1022","73","0","2015","A","",23,385,18076932,3148586,80712,904,46984,"",0.71,0.56,0.44,0.42,0.51,0.78,0.78,"",0,0.0,-52,-11.9,-117086,-0.6,-151181,-4.6,-25974,-24.3,104,13.0,5358,12.9
"01097","3","1022","73","0","2015","A","N",5,0,0,0,0,0,0,"N",0.96,0,0,0,0,0,0,"N",-1,-16.7,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","1022","73","0","2015","A","",100,1862,103673722,18138344,393955,1071,55689,"",0.65,0.56,0.39,0.51,0.44,0.69,0.69,"",-10,-9.1,-100,-5.1,-7574971,-6.8,-366517,-2.0,-77441,-16.4,-19,-1.7,-1008,-1.8
"01099","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",4.25,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01099","5","1022","73","0","2015","A","",5,52,2215288,419995,10480,822,42739,"",0.72,0.43,0.25,0.35,0.41,0.59,0.59,"",0,0.0,-4,-7.1,17298,0.8,-44085,-9.5,-3207,-23.4,62,8.2,3195,8.1
"01101","2","1022","73","0","2015","A","N",3,0,0,0,0,0,0,"N",13.86,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01101","5","1022","73","0","2015","A","",92,1904,94981923,17255448,379658,960,49899,"",0.91,0.75,0.47,0.75,0.73,0.63,0.63,"",2,2.2,37,2.0,820635,0.9,308815,1.8,-53044,-12.3,-10,-1.0,-536,-1.1
"01103","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",0.68,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01103","5","1022","73","0","2015","A","",19,258,13161799,2336326,55308,982,51064,"",0.44,0.28,0.19,0.23,0.23,0.67,0.67,"",-1,-5.0,5,2.0,-206346,-1.5,-45682,-1.9,-15666,-22.1,-35,-3.4,-1809,-3.4
"01105","5","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",0.41,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0
"01107","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",5.68,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01107","5","1022","73","0","2015","A","",8,34,1261980,258938,6899,723,37578,"",1.53,0.46,0.27,0.39,0.49,0.59,0.59,"",0,0.0,-1,-2.9,42551,3.5,9281,3.7,1443,26.4,58,8.7,2984,8.6
"01109","5","1022","73","0","2015","A","",7,160,7463360,1407095,23054,898,46719,"",0.63,0.59,0.39,0.51,0.33,0.66,0.66,"",-1,-12.5,1,0.6,751676,11.2,868,0.1,3661,18.9,85,10.5,4441,10.5
"01111","5","1022","73","0","2015","A","",8,35,1506335,282035,3148,832,43244,"",1.35,0.37,0.28,0.29,0.14,0.77,0.77,"",0,0.0,-3,-7.9,-23040,-1.5,-13738,-4.6,-2593,-45.2,60,7.8,3085,7.7
"01113","5","1022","73","0","2015","A","N",4,0,0,0,0,0,0,"N",0.29,0,0,0,0,0,0,"N",-1,-20.0,0,0,0,0,0,0,0,0,0,0,0,0
"01115","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",1.31,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01115","5","1022","73","0","2015","A","",19,129,7406141,1441893,31259,1101,57227,"",0.84,0.35,0.32,0.36,0.35,0.90,0.90,"",-1,-5.0,-28,-17.8,-462791,-5.9,-165001,-10.3,-16312,-34.3,135,14.0,7000,13.9
"01117","3","1022","73","0","2015","A","N",2,0,0,0,0,0,0,"N",0.68,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01117","5","1022","73","0","2015","A","",90,1079,75614966,10862474,243561,1348,70073,"",1.03,0.66,0.51,0.56,0.59,0.78,0.78,"",9,11.1,11,1.0,3677693,5.1,-844270,-7.2,-69878,-22.3,52,4.0,2705,4.0
"01119","5","1022","73","0","2015","A","N",2,0,0,0,0,0,0,"N",0.53,0,0,0,0,0,0,"N",-2,-50.0,0,0,0,0,0,0,0,0,0,0,0,0
"01121","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",1.40,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01121","5","1022","73","0","2015","A","",14,168,8177687,1629849,39061,938,48773,"",0.66,0.29,0.18,0.26,0.27,0.61,0.61,"",-3,-17.6,-15,-8.2,-445189,-5.2,-102259,-5.9,-11557,-22.8,30,3.3,1546,3.3
"01123","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",2.33,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01123","5","1022","73","0","2015","A","",10,98,4315666,908855,15394,845,43925,"",0.79,0.37,0.28,0.30,0.20,0.76,0.76,"",0,0.0,-3,-3.0,-523313,-10.8,2456,0.3,-4295,-21.8,-79,-8.5,-4105,-8.5
"01125","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",0.43,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01125","5","1022","73","0","2015","A","",48,777,39027246,7030799,210102,967,50260,"",0.69,0.43,0.28,0.40,0.55,0.65,0.65,"",3,6.7,30,4.0,2809011,7.8,571593,8.8,37673,21.8,34,3.6,1759,3.6
"01127","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",1.36,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01127","5","1022","73","0","2015","A","",10,95,4247616,753019,16997,864,44909,"",0.46,0.26,0.18,0.21,0.23,0.71,0.70,"",-1,-9.1,5,5.6,224186,5.6,24678,3.4,-1388,-7.5,7,0.8,369,0.8
"01129","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",7.58,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01129","5","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",0.26,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01131","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",8.04,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01131","5","1022","73","0","2015","A","N",3,0,0,0,0,0,0,"N",0.81,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01133","5","1022","73","0","2015","A","N",6,0,0,0,0,0,0,"N",0.80,0,0,0,0,0,0,"N",1,20.0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","1022","73","0","2015","A","",357,978,79592043,11757887,283972,1565,81403,"",1.97,1.04,0.71,0.77,0.64,0.69,0.69,"N",57,19.0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","1","1022","53","0","2015","A","",2,7,289692,0,0,857,44568,"",6.75,0.44,0.24,0.00,0.00,0.58,0.58,"",-1,-33.3,-2,-22.2,-152592,-34.5,0,0.0,0,0.0,-71,-7.7,-3681,-7.6
"02000","3","1022","53","0","2015","A","N",1,0,0,0,0,0,0,"N",0.08,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02000","5","1022","53","0","2015","A","",376,6309,406993152,223465814,4206188,1241,64508,"",1.06,0.96,0.63,1.02,0.80,0.66,0.66,"",13,3.6,73,1.2,18289375,4.7,12133007,5.7,-617552,-12.8,42,3.5,2178,3.5
"02013","5","1022","73","0","2015","A","",3,15,246979,165851,3060,318,16557,"",1.82,0.33,0.07,0.07,0.04,0.21,0.21,"",0,0.0,0,0.0,-47953,-16.3,-25841,-13.5,-1649,-35.0,-54,-14.5,-2783,-14.4
"02016","5","1022","73","0","2015","A","",4,25,1096936,683084,13127,847,44024,"",1.48,0.34,0.15,0.18,0.13,0.45,0.45,"",0,0.0,-3,-10.7,-35244,-3.1,4361,0.6,-1816,-12.2,72,9.3,3709,9.2
"02020","1","1022","73","0","2015","A","",0,0,0,0,0,0,0,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",-1,-100.0,-1,-100.0,-75131,-100.0,0,0.0,0,0.0,-1156,-100.0,-60105,-100.0
"02020","5","1022","73","0","2015","A","",152,4050,288119096,152898898,2846592,1368,71135,"",1.14,1.33,0.92,1.48,1.20,0.69,0.69,"",7,4.8,63,1.6,16281684,6.0,10977828,7.7,-376677,-11.7,57,4.3,2954,4.3
"02050","5","1022","73","0","2015","A","",4,88,4485826,2735487,53464,978,50831,"",0.67,0.64,0.45,0.71,0.56,0.70,0.70,"",0,0.0,7,8.6,646719,16.8,284059,11.6,-2210,-4.0,63,6.9,3239,6.8
